_step,time_per_step,consistency_loss,reconstruction_loss,step,_runtime,uniformity_loss,learning_rate,clip_loss,_timestamp,total_loss
1,1.9768803119659424,-2.0609888906619744e-08,0.5294116139411926,1,1805.474981041,0.9626526832580566,0.0001,0,1770474829.2289097,0.5775442719459534
2,1.0963513851165771,0.0020232261158525944,0.38479486107826233,2,1806.539357636,0.9956284165382385,0.0001,0,1770474956.743751,0.43461674451828003
8,1.0678670406341553,0.0019121540244668722,0.2089042216539383,8,1812.946438158,0.9972675442695618,0.0001,0,1770474963.1487713,0.2588058412075043
9,1.066478967666626,0.013840481638908386,0.19645649194717407,9,1814.013432343,0.9970608353614807,0.0001,0,1770474964.2160363,0.24658633768558502
10,1.06591796875,0.003251077840104699,0.16200192272663116,10,1815.082326154,0.9971395134925842,0.0001,0,1770474965.2831137,0.21192392706871033
12,1.0692033767700195,0.010776449926197529,0.16273045539855957,12,1817.223908462,0.997295618057251,0.0001,0,1770474967.4218926,0.21281076967716217
15,1.0722105503082275,0.046225469559431076,0.16541393101215363,15,1820.438846861,0.9963838458061218,0.0001,0,1770474970.6383643,0.21615763008594513
17,1.0693702697753906,0.15920498967170715,0.15143975615501404,17,1822.578111124,0.9964625835418701,0.0001,0,1770474972.7786987,0.20444698631763458
28,1.069385290145874,0.02518894337117672,0.1249706819653511,28,1834.351558305,0.9960625171661377,0.0001,0,1770474984.5512888,0.17527759075164795
29,1.0691914558410645,0.03552357107400894,0.13143876194953918,29,1835.422831365,0.9958032965660095,0.0001,0,1770474985.6212087,0.18193940818309784
32,1.0715117454528809,0.1630275696516037,0.13108856976032257,32,1838.642932901,0.9954859018325806,0.0001,0,1770474988.8383749,0.1841234266757965
34,1.071441411972046,0.14770381152629852,0.12955504655838013,34,1840.786734445,0.9953639507293701,0.0001,0,1770474990.984992,0.18227732181549072
42,1.0691518783569336,-1.9632011571957264e-08,0.11230172216892242,42,1849.579543392,0.9946296811103821,0.0001,0,1770474999.644321,0.16203320026397705
44,1.072026252746582,0.1298508495092392,0.12680202722549438,44,1851.724616623,0.9944480061531067,0.0001,0,1770475001.9220898,0.1791214495897293
45,1.0715744495391846,0.14685174822807312,0.11721915006637573,45,1852.796974304,0.9947317242622375,0.0001,0,1770475002.994336,0.16989277303218842
47,1.07041597366333,0.15672150254249573,0.12682399153709412,47,1854.938990474,0.9936580657958984,0.0001,0,1770475005.1379015,0.17964132130146027
48,1.0700292587280273,0.014208144508302212,0.12273957580327988,48,1856.008476311,0.9938719272613525,0.0001,0,1770475006.2087646,0.17271733283996582
49,1.0687787532806396,0.09479165077209473,0.11318589001893997,49,1857.07918803,0.9933919906616211,0.0001,0,1770475007.2782564,0.1647513210773468
53,1.0691604614257812,0.030608776956796646,0.11192157119512558,53,1861.358648311,0.9920416474342346,0.0001,0,1770475011.5587833,0.16213582456111908
59,1.0706264972686768,0.15038982033729553,0.1157057136297226,59,1867.798114511,0.9904300570487976,0.0001,0,1770475017.9970067,0.16823501884937286
61,1.071014642715454,-1.978725094886613e-08,0.10972144454717636,61,1869.942678846,0.989126443862915,0.0001,0,1770475020.1399088,0.159177765250206
62,1.071709394454956,0.07201967388391495,0.11090133339166641,62,1871.024895641,0.9891393780708313,0.0001,0,1770475021.2124488,0.16179870069026947
65,1.0737354755401611,0.037654388695955276,0.12266767770051956,65,1874.276145907,0.9895630478858948,0.0001,0,1770475024.4419181,0.17289891839027405
68,1.0701072216033936,0.028973614796996117,0.10528364777565002,68,1877.490537367,0.9861650466918945,0.0001,0,1770475027.6885703,0.15517137944698334
74,1.069540023803711,0.02571733668446541,0.11187902837991714,74,1883.918403306,0.9819965362548828,0.0001,0,1770475034.1164498,0.1614931970834732
75,1.0703253746032715,-2.0011384549434297e-08,0.09441284835338593,75,1884.989986074,0.9794873595237732,0.0001,0,1770475035.187885,0.14338721334934235
78,1.0700488090515137,0.027535509318113327,0.10201682895421982,78,1888.2078446,0.9816041588783264,0.0001,0,1770475038.4072776,0.15164774656295776
79,1.0695216655731201,0.11773897707462311,0.09753135591745377,79,1889.277757998,0.9776424169540405,0.0001,0,1770475039.477612,0.14876826107501984
86,1.0711262226104736,0.12474378198385239,0.10296384245157242,86,1896.788844506,0.9714131355285645,0.0001,0,1770475046.9855995,0.15402936935424805
87,1.0721354484558105,-1.9658784822240705e-08,0.0978117361664772,87,1897.862201275,0.9677774906158447,0.0001,0,1770475048.0584867,0.14620061218738556
89,1.0818555355072021,0.1295607089996338,0.10714858770370483,89,1900.015938559,0.9712749123573303,0.0001,0,1770475050.214657,0.15830354392528534
95,1.0705623626708984,-1.975138275156496e-08,0.10720100998878479,95,1906.44114788,0.9617342948913574,0.0001,0,1770475056.640182,0.1552877277135849
96,1.0698201656341553,0.1237872913479805,0.10660119354724884,96,1907.51215211,0.9587751626968384,0.0001,0,1770475057.7106922,0.15701569616794586
100,1.0762889385223389,0.029159288853406906,0.09200745075941086,100,1910.733831391,0.948917806148529,0.0001,0,1770475062.0016184,0.14003652334213257
103,1.0717449188232422,0.11259020119905472,0.10012136399745941,103,1915.027233565,0.9434075951576233,0.0001,0,1770475065.2242057,0.14954355359077454
105,1.0719783306121826,-1.9614333268691553e-08,0.09157075732946396,105,1917.170562876,0.9463474750518799,0.0001,0,1770475067.3697462,0.1388881355524063
107,1.0888781547546387,0.06320122629404068,0.08611245453357697,107,1919.331928638,0.9407790899276733,0.0001,0,1770475069.5299516,0.1344154328107834
110,1.069917917251587,0.13773097097873688,0.08053286373615265,110,1922.559044006,0.9345872402191162,0.0001,0,1770475072.757901,0.13001684844493866
113,1.0717246532440186,-1.986381903407164e-08,0.10218916833400726,113,1925.803396901,0.9284849762916565,0.0001,0,1770475075.9744456,0.14861342310905457
120,1.0710225105285645,-2.0052084437338635e-08,0.09130175411701202,120,1933.309257528,0.9227506518363953,0.0001,0,1770475083.5065634,0.1374392807483673
121,1.0715551376342773,-2.0017807855765568e-08,0.09658442437648773,121,1934.382221154,0.9245219230651855,0.0001,0,1770475084.5790858,0.14281052350997925
123,1.0708460807800293,-1.9979836451966548e-08,0.10375142842531204,123,1936.525240452,0.9180430769920349,0.0001,0,1770475086.7235935,0.1496535837650299
125,1.0708847045898438,-2.012069444390363e-08,0.10504428297281265,125,1938.668119147,0.9272735714912415,0.0001,0,1770475088.866645,0.15140795707702637
134,1.0713341236114502,0.019087016582489014,0.08483679592609406,134,1948.323487415,0.8891467452049255,0.0001,0,1770475098.5143042,0.12967586517333984
137,1.0725181102752686,0.037152402102947235,0.10055246204137802,137,1951.5453062,0.8918604850769043,0.0001,0,1770475101.741593,0.1458885371685028
144,1.0720393657684326,-2.021903355853283e-08,0.11289636045694351,144,1959.054742369,0.8875603675842285,0.0001,0,1770475109.2521977,0.15727438032627106
148,1.0731637477874756,-2.041889501924743e-08,0.09626428782939911,148,1963.348778466,0.8472123146057129,0.0001,0,1770475113.544975,0.138624906539917
150,1.0727531909942627,0.02440473809838295,0.10269613564014435,150,1965.496309639,0.8557077646255493,0.0001,0,1770475115.6930673,0.14596961438655853
151,1.0723886489868164,-2.0472270989557728e-08,0.08491867035627365,151,1966.568276268,0.8397894501686096,0.0001,0,1770475116.7661436,0.12690813839435577
154,1.0724925994873047,-2.0491881969064707e-08,0.09258907288312912,154,1969.785680076,0.828183650970459,0.0001,0,1770475119.9831874,0.13399825990200043
156,1.0702283382415771,0.11221304535865784,0.10673020780086517,156,1971.929975178,0.8207273483276367,0.0001,0,1770475122.126375,0.1500108391046524
158,1.07008695602417,0.10453926771879196,0.10264556854963303,158,1974.073223939,0.8128598928451538,0.0001,0,1770475124.27059,0.14537934958934784
162,1.0951638221740723,0.11151136457920074,0.08949235826730728,162,1978.389684138,0.8193904161453247,0.0001,0,1770475128.5859547,0.1326920986175537
163,1.0727627277374268,0.08890993148088455,0.08246776461601257,163,1979.462165573,0.8131744861602783,0.0001,0,1770475129.6594577,0.12490469217300415
167,1.07112717628479,0.09369803965091705,0.10036159306764603,167,1983.778790363,0.8123118281364441,0.0001,0,1770475133.9740155,0.14285114407539368
168,1.0738351345062256,-2.0527693322947016e-08,0.09216909110546112,168,1984.853978091,0.820774257183075,0.0001,0,1770475135.048594,0.1332077980041504
171,1.069605827331543,0.047265827655792236,0.08485569804906845,171,1988.09594117,0.8227418661117554,0.0001,0,1770475138.2942781,0.1269381046295166
173,1.0718073844909668,0.03272001072764397,0.1000770553946495,173,1990.242648939,0.8200018405914307,0.0001,0,1770475140.4384227,0.14173154532909393
175,1.076512098312378,-2.0682477952504996e-08,0.08205071091651917,175,1992.392168751,0.8019885420799255,0.0001,0,1770475142.5894153,0.12215013802051544
181,1.072504997253418,-2.063973170152167e-08,0.10081252455711365,181,1998.826838354,0.7944716215133667,0.0001,0,1770475149.022422,0.1405360996723175
183,1.0731103420257568,-2.0589368432410993e-08,0.0968867838382721,183,2000.974295929,0.8059083223342896,0.0001,0,1770475151.1706455,0.13718220591545105
186,1.0716500282287598,0.08326920866966248,0.08299600332975388,186,2004.193500579,0.7845402359962463,0.0001,0,1770475154.3892121,0.12388840317726135
194,1.0711863040924072,-2.058857262454694e-08,0.09049484133720398,194,2012.811510487,0.7738134860992432,0.0001,0,1770475163.0093665,0.1291855126619339
195,1.071190595626831,0.11267756670713425,0.089020736515522,195,2013.884371387,0.7848302125930786,0.0001,0,1770475164.0812721,0.13051579892635345
196,1.0720767974853516,0.030879581347107887,0.08376245945692062,196,2014.956857942,0.798186182975769,0.0001,0,1770475165.1540668,0.1242893636226654
199,1.070969581604004,0.08742954581975937,0.09809531271457672,199,2018.172037816,0.7706719040870667,0.0001,0,1770475168.3697405,0.13837750256061554
202,1.072573184967041,-2.0778770704055205e-08,0.11172553151845932,202,2021.389349417,0.7814655900001526,0.0001,0,1770475171.5871453,0.15079881250858307
204,1.0702252388000488,0.037410058081150055,0.09677747637033463,204,2023.531752754,0.7814959287643433,0.0001,0,1770475173.7300508,0.13660047948360443
210,1.073133945465088,-2.0651611976063577e-08,0.09424781054258347,210,2029.992000376,0.7735317945480347,0.0001,0,1770475180.189525,0.1329244077205658
