Starting training for 20000 steps...
Output directory: ./outputs_olmoearth
W&B logging enabled - Project: alpha-earth-foundations, Run: first-2026-02-08
Training:   0%|                                                                                                         | 0/20000 [00:00<?, ?step/s]/root/alphaearth-foundations/src/alphaearth/training.py:165: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  self.loss_history['total'].append(float(loss))
Training:   2%|▉                                                        | 319/20000 [28:32<39:47,  8.24step/s, recon_loss=0.1320, total_loss=0.1753]

step 00020/20000 (0.1%) | total 0.2635 | recon 0.2136 | uni 0.9986 | cons 0.0001 | clip 0.0000 | ETA: 390.42h (0.01 steps/s)

step 00040/20000 (0.2%) | total 0.2359 | recon 0.1860 | uni 0.9976 | cons -0.0000 | clip 0.0000 | ETA: 232.11h (0.02 steps/s)

step 00060/20000 (0.3%) | total 0.3072 | recon 0.2574 | uni 0.9967 | cons -0.0000 | clip 0.0000 | ETA: 154.83h (0.04 steps/s)

step 00080/20000 (0.4%) | total 0.1814 | recon 0.1279 | uni 0.9881 | cons 0.2079 | clip 0.0000 | ETA: 116.19h (0.05 steps/s)

step 00100/20000 (0.5%) | total 0.2451 | recon 0.1958 | uni 0.9857 | cons -0.0000 | clip 0.0000 | ETA: 93.02h (0.06 steps/s)

step 00120/20000 (0.6%) | total 0.2142 | recon 0.1617 | uni 0.9863 | cons 0.1570 | clip 0.0000 | ETA: 77.57h (0.07 steps/s)

step 00140/20000 (0.7%) | total 0.2089 | recon 0.1599 | uni 0.9798 | cons -0.0000 | clip 0.0000 | ETA: 66.53h (0.08 steps/s)

step 00160/20000 (0.8%) | total 0.2597 | recon 0.2063 | uni 0.9714 | cons 0.2437 | clip 0.0000 | ETA: 58.25h (0.09 steps/s)

step 00180/20000 (0.9%) | total 0.2179 | recon 0.1716 | uni 0.9266 | cons -0.0000 | clip 0.0000 | ETA: 51.81h (0.11 steps/s)

step 00200/20000 (1.0%) | total 0.2091 | recon 0.1615 | uni 0.9288 | cons 0.0606 | clip 0.0000 | ETA: 46.66h (0.12 steps/s)

step 00220/20000 (1.1%) | total 0.2416 | recon 0.1926 | uni 0.9487 | cons 0.0749 | clip 0.0000 | ETA: 42.43h (0.13 steps/s)

step 00240/20000 (1.2%) | total 0.1769 | recon 0.1290 | uni 0.9578 | cons -0.0000 | clip 0.0000 | ETA: 38.92h (0.14 steps/s)

step 00260/20000 (1.3%) | total 0.1812 | recon 0.1337 | uni 0.9155 | cons 0.0883 | clip 0.0000 | ETA: 35.95h (0.15 steps/s)

step 00280/20000 (1.4%) | total 0.1357 | recon 0.0899 | uni 0.9146 | cons -0.0000 | clip 0.0000 | ETA: 33.40h (0.16 steps/s)

step 00300/20000 (1.5%) | total 0.1477 | recon 0.1000 | uni 0.8753 | cons 0.1986 | clip 0.0000 | ETA: 31.19h (0.18 steps/s)

step 00320/20000 (1.6%) | total 0.1753 | recon 0.1320 | uni 0.8655 | cons -0.0000 | clip 0.0000 | ETA: 29.26h (0.19 steps/s)

