Starting training for 20000 steps...
Output directory: ./outputs_olmoearth
W&B logging enabled - Project: alpha-earth-foundations, Run: second-2026-02-08
Training:   0%|                                                                                                         | 0/20000 [00:00<?, ?step/s]/root/alphaearth-foundations/src/alphaearth/training.py:165: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  self.loss_history['total'].append(float(loss))
Training:   2%|▉                                                      | 319/20000 [08:44<3:55:45,  1.39step/s, recon_loss=0.0979, total_loss=0.1359]

step 00020/20000 (0.1%) | total 0.2059 | recon 0.1560 | uni 0.9981 | cons 0.0000 | clip 0.0000 | ETA: 78.56h (0.07 steps/s)

step 00040/20000 (0.2%) | total 0.1845 | recon 0.1346 | uni 0.9973 | cons 0.0000 | clip 0.0000 | ETA: 41.58h (0.13 steps/s)

step 00060/20000 (0.3%) | total 0.2111 | recon 0.1613 | uni 0.9953 | cons 0.0000 | clip 0.0000 | ETA: 29.20h (0.19 steps/s)

step 00080/20000 (0.4%) | total 0.2697 | recon 0.2202 | uni 0.9905 | cons -0.0000 | clip 0.0000 | ETA: 22.99h (0.24 steps/s)

step 00100/20000 (0.5%) | total 0.2249 | recon 0.1760 | uni 0.9782 | cons 0.0004 | clip 0.0000 | ETA: 19.29h (0.29 steps/s)

step 00120/20000 (0.6%) | total 0.1877 | recon 0.1360 | uni 0.9523 | cons 0.2074 | clip 0.0000 | ETA: 16.72h (0.33 steps/s)

step 00140/20000 (0.7%) | total 0.1553 | recon 0.1024 | uni 0.9538 | cons 0.2603 | clip 0.0000 | ETA: 14.93h (0.37 steps/s)

step 00160/20000 (0.8%) | total 0.1961 | recon 0.1503 | uni 0.9156 | cons -0.0000 | clip 0.0000 | ETA: 13.58h (0.41 steps/s)

step 00180/20000 (0.9%) | total 0.1479 | recon 0.1060 | uni 0.8383 | cons -0.0000 | clip 0.0000 | ETA: 12.57h (0.44 steps/s)

step 00200/20000 (1.0%) | total 0.1646 | recon 0.1197 | uni 0.8981 | cons -0.0000 | clip 0.0000 | ETA: 11.72h (0.47 steps/s)

step 00220/20000 (1.1%) | total 0.1683 | recon 0.1201 | uni 0.8790 | cons 0.2122 | clip 0.0000 | ETA: 11.06h (0.50 steps/s)

step 00240/20000 (1.2%) | total 0.1439 | recon 0.1030 | uni 0.8174 | cons -0.0000 | clip 0.0000 | ETA: 10.50h (0.52 steps/s)

step 00260/20000 (1.3%) | total 0.1731 | recon 0.1260 | uni 0.8213 | cons 0.3036 | clip 0.0000 | ETA: 10.04h (0.55 steps/s)

step 00280/20000 (1.4%) | total 0.1389 | recon 0.0991 | uni 0.7141 | cons 0.2056 | clip 0.0000 | ETA: 9.62h (0.57 steps/s)

step 00300/20000 (1.5%) | total 0.1375 | recon 0.0949 | uni 0.6962 | cons 0.3884 | clip 0.0000 | ETA: 9.26h (0.59 steps/s)

step 00320/20000 (1.6%) | total 0.1359 | recon 0.0979 | uni 0.7602 | cons -0.0000 | clip 0.0000 | ETA: 8.95h (0.61 steps/s)

step 00340/20000 (1.7%) | total 0.1738 | recon 0.1357 | uni 0.6735 | cons 0.2250 | clip 0.0000 | ETA: 8.68h (0.63 steps/s)

step 00360/20000 (1.8%) | total 0.1422 | recon 0.1116 | uni 0.5763 | cons 0.0907 | clip 0.0000 | ETA: 8.42h (0.65 steps/s)

step 00380/20000 (1.9%) | total 0.1243 | recon 0.0915 | uni 0.6048 | cons 0.1318 | clip 0.0000 | ETA: 8.21h (0.66 steps/s)

step 00400/20000 (2.0%) | total 0.1362 | recon 0.1046 | uni 0.5923 | cons 0.0966 | clip 0.0000 | ETA: 8.02h (0.68 steps/s)

step 00420/20000 (2.1%) | total 0.1130 | recon 0.0839 | uni 0.5808 | cons -0.0000 | clip 0.0000 | ETA: 7.86h (0.69 steps/s)

step 00440/20000 (2.2%) | total 0.1340 | recon 0.1053 | uni 0.5752 | cons -0.0000 | clip 0.0000 | ETA: 7.69h (0.71 steps/s)

step 00460/20000 (2.3%) | total 0.1238 | recon 0.0914 | uni 0.6045 | cons 0.1071 | clip 0.0000 | ETA: 7.55h (0.72 steps/s)

step 00480/20000 (2.4%) | total 0.1073 | recon 0.0763 | uni 0.5933 | cons 0.0673 | clip 0.0000 | ETA: 7.41h (0.73 steps/s)

step 00500/20000 (2.5%) | total 0.1337 | recon 0.1054 | uni 0.5524 | cons 0.0367 | clip 0.0000 | ETA: 7.28h (0.74 steps/s)

step 00520/20000 (2.6%) | total 0.1114 | recon 0.0798 | uni 0.5684 | cons 0.1581 | clip 0.0000 | ETA: 7.17h (0.76 steps/s)

step 00540/20000 (2.7%) | total 0.1129 | recon 0.0843 | uni 0.5710 | cons -0.0000 | clip 0.0000 | ETA: 7.05h (0.77 steps/s)

step 00560/20000 (2.8%) | total 0.1115 | recon 0.0827 | uni 0.5765 | cons -0.0000 | clip 0.0000 | ETA: 6.95h (0.78 steps/s)

step 00580/20000 (2.9%) | total 0.0944 | recon 0.0673 | uni 0.5417 | cons -0.0000 | clip 0.0000 | ETA: 6.87h (0.79 steps/s)

step 00600/20000 (3.0%) | total 0.0974 | recon 0.0691 | uni 0.5662 | cons -0.0000 | clip 0.0000 | ETA: 6.79h (0.79 steps/s)

step 00620/20000 (3.1%) | total 0.1320 | recon 0.1019 | uni 0.5637 | cons 0.0973 | clip 0.0000 | ETA: 6.71h (0.80 steps/s)

step 00640/20000 (3.2%) | total 0.0760 | recon 0.0469 | uni 0.5481 | cons 0.0865 | clip 0.0000 | ETA: 6.64h (0.81 steps/s)

step 00660/20000 (3.3%) | total 0.1221 | recon 0.0896 | uni 0.6186 | cons 0.0754 | clip 0.0000 | ETA: 6.56h (0.82 steps/s)

step 00680/20000 (3.4%) | total 0.0967 | recon 0.0685 | uni 0.5539 | cons 0.0276 | clip 0.0000 | ETA: 6.50h (0.83 steps/s)

step 00700/20000 (3.5%) | total 0.1241 | recon 0.0964 | uni 0.5446 | cons 0.0218 | clip 0.0000 | ETA: 6.44h (0.83 steps/s)

step 00720/20000 (3.6%) | total 0.1222 | recon 0.0947 | uni 0.5357 | cons 0.0336 | clip 0.0000 | ETA: 6.38h (0.84 steps/s)

step 00740/20000 (3.7%) | total 0.0903 | recon 0.0620 | uni 0.5609 | cons 0.0153 | clip 0.0000 | ETA: 6.32h (0.85 steps/s)

step 00760/20000 (3.8%) | total 0.1135 | recon 0.0809 | uni 0.5920 | cons 0.1473 | clip 0.0000 | ETA: 6.26h (0.85 steps/s)

